strain_name,strain_slug,strain_category,strain_popularity,strain_aliases,strain_id,condition_add_adhd_votes,condition_alzheimers_votes,condition_anorexia_votes,condition_anxiety_votes,condition_arthritis_votes,condition_asthma_votes,condition_bipolar_disorder_votes,condition_cachexia_votes,condition_cancer_votes,condition_crohns_disease_votes,condition_epilepsy_votes,condition_fibromyalgia_votes,condition_gastrointestinal_disorder_votes,condition_glaucoma_votes,condition_hiv_aids_votes,condition_hypertension_votes,condition_migraines_votes,condition_multiple_sclerosis_votes,condition_muscular_dystrophy_votes,condition_parkinsons_votes,condition_phantom_limb_pain_votes,condition_pms_votes,condition_ptsd_votes,condition_spinal_cord_injury_votes,condition_tinnitus_votes,condition_tourettes_syndrome_votes,effect_aroused_votes,effect_creative_votes,effect_energetic_votes,effect_euphoric_votes,effect_focused_votes,effect_giggly_votes,effect_happy_votes,effect_hungry_votes,effect_relaxed_votes,effect_sleepy_votes,effect_talkative_votes,effect_tingly_votes,effect_uplifted_votes,flavor_ammonia_votes,flavor_apple_votes,flavor_apricot_votes,flavor_berry_votes,flavor_blue_cheese_votes,flavor_blueberry_votes,flavor_butter_votes,flavor_cheese_votes,flavor_chemical_votes,flavor_chestnut_votes,flavor_citrus_votes,flavor_coffee_votes,flavor_diesel_votes,flavor_earthy_votes,flavor_flowery_votes,flavor_grape_votes,flavor_grapefruit_votes,flavor_honey_votes,flavor_lavender_votes,flavor_lemon_votes,flavor_lime_votes,flavor_mango_votes,flavor_menthol_votes,flavor_mint_votes,flavor_nutty_votes,flavor_orange_votes,flavor_peach_votes,flavor_pear_votes,flavor_pepper_votes,flavor_pine_votes,flavor_pineapple_votes,flavor_plum_votes,flavor_pungent_votes,flavor_rose_votes,flavor_sage_votes,flavor_skunk_votes,flavor_spicy_herbal_votes,flavor_strawberry_votes,flavor_sweet_votes,flavor_tar_votes,flavor_tea_votes,flavor_tobacco_votes,flavor_tree_fruit_votes,flavor_tropical_votes,flavor_vanilla_votes,flavor_violet_votes,flavor_woody_votes,negative_anxious_votes,negative_dizzy_votes,negative_dry_eyes_votes,negative_dry_mouth_votes,negative_headache_votes,negative_paranoid_votes,review_total_condition_votes,review_total_effect_votes,review_total_flavor_votes,review_total_negative_votes,review_total_symptom_votes,symptom_cramps_votes,symptom_depression_votes,symptom_eye_pressure_votes,symptom_fatigue_votes,symptom_headaches_votes,symptom_inflammation_votes,symptom_insomnia_votes,symptom_lack_of_appetite_votes,symptom_muscle_spasms_votes,symptom_nausea_votes,symptom_pain_votes,symptom_seizures_votes,symptom_spasticity_votes,symptom_stress_votes
ak 47,ak-47,Hybrid,0.22756379307015098,"AK471,AK47,AK473",1,146,12,41,550,73,40,89,6,30,23,20,45,36,18,12,40,183,17,9,11,12,75,131,38,24,16,214,669,614,915,480,449,1129,550,834,387,507,309,895,7,7,2,30,5,10,3,14,24,11,86,8,41,372,124,12,12,14,14,36,18,8,10,17,24,14,2,3,39,131,10,2,209,8,21,172,85,5,189,17,20,22,21,37,9,9,182,84,195,459,772,113,176,790,1850,704,982,1123,67,476,65,204,149,81,327,203,137,231,510,14,30,765
chemdawg,chemdawg,Hybrid,0.28846413821073164,"CHEMOG,CHEMD,LOGXCHEMDOG,CHEMPIEOG11,CHEMDOG91,CHEMDOG,CHEMDOG4,CHEMDAWG,GREENRIVERKILLER",2,126,5,39,477,81,26,88,3,29,20,14,42,51,10,10,38,143,17,7,8,9,61,139,36,20,6,180,502,408,850,379,334,858,378,776,265,345,295,723,14,1,2,18,1,9,5,8,165,5,86,9,335,341,58,5,7,7,9,46,14,4,10,18,25,13,3,1,31,122,6,3,260,4,16,108,52,2,74,12,12,12,10,16,4,2,94,59,125,282,477,63,86,650,1433,644,639,869,82,400,46,161,164,102,240,188,126,200,473,21,33,596
mr nice,mr-nice,Indica,0.04001258066385073,"MRNICEBB,MRNICE,MRNICEGUY",3,57,5,19,204,28,10,44,1,13,9,9,25,26,3,5,18,63,6,6,4,5,26,56,18,10,5,62,135,77,289,106,101,294,185,340,223,89,107,211,3,2,1,15,1,8,2,5,6,4,18,2,11,155,33,5,2,2,5,6,2,1,2,8,11,0,2,2,10,35,2,3,76,3,15,27,28,4,98,6,8,4,10,11,3,4,55,14,46,137,203,37,38,271,559,240,272,352,27,130,28,45,70,32,156,70,61,71,207,10,15,249
super silver haze,super-silver-haze,Sativa,0.21139929537246765,"SUPERSIVERHAZE,SUPERSILVERHAZEF4,SUPERSILVERHAZEKUSH,SUPERSILVERLEMONHAZE,SUPERSILVERLEMONHAZER07176,0000SUPERSHAZE,SUPERSILVERSOURDIESELHAZE,SUPERSOURSILVERDIESELHAZE,SUPERSILVERHAZE1,SSHAZE,SUPERSILVERHAZE,SUPERSILVERHAZE2,SSH,CRITICALSUPERSILVERHAZE",6,124,8,28,445,62,20,73,3,18,6,16,36,32,10,7,33,123,11,9,9,12,54,91,24,24,18,153,651,760,835,500,372,910,303,522,101,438,226,903,10,6,1,17,5,1,8,16,22,7,241,2,30,217,79,4,9,15,12,82,20,7,8,21,18,29,7,2,17,90,10,0,142,4,22,90,77,3,216,2,19,7,18,49,6,0,80,74,132,278,453,58,127,602,1414,587,634,817,31,432,44,228,120,70,124,163,77,174,330,21,19,575
northern lights 5,northern-lights--5,Indica,0.013107617095356466,NORTHERNLIGHTS5,7,8,1,2,51,8,1,11,0,3,0,3,6,2,1,2,5,12,0,1,0,5,7,9,7,1,0,17,44,19,78,28,29,71,31,66,29,28,24,60,2,3,1,1,0,2,1,1,1,1,19,0,0,22,9,2,0,5,3,4,4,1,0,2,1,1,0,0,0,16,1,3,12,0,4,5,5,0,24,1,3,0,2,2,1,1,5,3,4,26,45,6,9,64,123,47,57,82,5,39,2,12,13,11,23,14,17,15,39,4,5,57
snowcap,snowcap,Hybrid,0.03452233481671132,"SNOCAP,SNOWCAP,SNOWCAPLA",8,29,1,7,118,18,8,31,0,5,1,2,7,14,2,1,5,36,5,0,2,2,21,31,6,3,2,43,164,181,180,116,85,204,68,103,29,101,53,205,8,1,1,10,1,4,2,1,8,2,56,4,10,49,15,1,7,5,7,65,14,4,21,17,3,6,3,3,8,35,5,4,30,2,6,9,7,2,31,2,5,0,4,12,2,0,14,26,28,66,120,13,36,178,342,141,168,238,14,111,7,60,31,30,44,25,36,46,101,5,5,171
blue cheese,blue-cheese,Indica,0.18733325792292135,"BCHBLUECHEESE,BLUECHEESE",9,149,8,50,551,90,34,124,2,37,26,21,65,45,11,11,37,157,21,22,13,18,61,148,46,21,17,177,418,236,943,323,445,1000,548,1127,677,334,316,649,3,6,2,165,640,296,24,510,18,4,35,9,18,190,49,11,4,5,5,9,4,8,4,12,19,7,4,5,19,43,6,3,267,3,20,142,32,5,160,4,12,8,6,17,10,3,57,57,145,381,664,84,101,758,1737,901,845,1051,80,446,63,154,169,116,454,226,188,218,572,33,40,747
mk ultra,mk-ultra,Indica,0.0605582393692011,"MKULTRAFEM,MKULTRA1FEM,MKULTRA,MKULTRA00025,MKULTRA00024,MKULTRA00023,MKULTRA00008,MKULTRAPOST",10,42,7,20,166,46,20,33,8,11,8,6,32,33,15,1,13,50,12,3,4,5,27,58,13,12,7,70,97,39,270,81,81,275,162,386,275,63,112,159,4,2,0,15,4,9,1,9,14,8,30,11,18,147,31,11,4,8,5,14,8,0,4,9,19,3,2,0,9,53,3,4,96,2,6,40,31,1,56,1,10,3,5,9,8,1,65,18,47,101,201,14,31,220,513,245,256,324,39,127,31,41,58,53,176,86,56,96,207,7,17,216
granddaddy purple,granddaddy-purple,Indica,0.4815249088867492,"GRANDADDYPURPLE1,GRANDADDYPURPLE,GRANDDADDYPURPLEC,GDPKC,GRANDDADDYPURP,GRANDADDYPURP,GRANDDADDYPURPS,GRANDDADDYPURPLEKUSH,DRWXGDP,KENSGDP,BANGSGRANDDADDYPURPLE,GRANDDADDYGRAPE,SHISKAGDP,GDPCHEESE1,ZIONSGRANDADDYPURPLE,GRANDDADDYDERKLE,GRANDDADDYPURPBAY11,PLATINUMGDP,PICKENSMTNGDP,GRANDDADDYPURPLE,GDP,GDP1,GDPJS,GDPKENSCUT,GRANDDADDYPURPLEGREENPHENO",11,280,21,93,1057,217,90,211,17,78,50,67,128,115,43,33,105,354,54,35,31,43,140,330,103,54,36,361,597,272,1510,449,625,1601,1120,2040,1682,404,592,909,7,7,5,673,5,121,14,12,13,8,82,20,38,351,181,743,33,29,85,30,13,17,10,28,48,15,5,8,29,122,9,37,249,16,25,113,65,19,645,5,25,12,30,79,16,44,117,84,243,591,1031,107,163,1409,2990,1367,1320,1903,178,735,99,245,392,241,1021,454,363,435,1136,78,85,1314
g 13,g-13,Indica,0.14410929727612073,"MG13,PG13,G13H1,G13,G13H",12,62,1,13,249,40,13,43,2,14,7,9,27,24,9,5,18,85,6,7,4,7,22,61,21,7,4,74,213,133,466,155,153,451,218,449,258,151,152,314,3,2,0,14,0,8,4,6,8,7,31,3,15,205,38,10,6,9,6,13,5,5,1,5,14,4,1,2,11,102,4,2,61,3,10,21,22,2,127,5,12,5,11,12,1,2,81,17,69,152,273,33,50,335,770,309,357,470,33,201,28,57,77,56,191,97,50,105,258,15,17,326
sour diesel,sour-diesel,Sativa,0.6214792763911152,"SOURDIESELF1,LASOURDIESEL,NYSOURDIESEL,AKSOURDIESEL,SOURDIESELGH,SOURDIESELCC,SOURDIESELB4,NYCSOURDIESEL,LAMBSOURDIESEL,2DMNYCSOURDIESEL,SOURDIESELNUMBER2,SOURDIESELTANGIE,SOULREBEL,SOURDIESEL45,SOURDIESEL1,SOURDIESEL,SOURDIESEL2,SOURDIESEL8605,SOURDIESELF2,QRINYCSOURDIESEL703,SJTSOURDIESEL,SUPERDIESEL",13,515,16,71,1377,174,104,318,11,67,49,44,89,123,44,26,82,420,31,22,19,37,154,366,79,46,32,742,2076,2453,2674,1567,1245,3102,1284,1821,563,1543,853,2744,54,12,6,37,17,29,9,18,263,12,318,21,1653,778,116,13,44,18,18,199,81,16,21,36,46,42,6,5,49,238,18,4,894,16,48,557,133,18,275,62,20,31,22,48,17,7,232,248,378,938,1701,250,489,1961,4791,2238,2271,2653,163,1417,154,673,502,200,457,532,283,555,1159,64,103,1860
cinderella 99,cinderella-99,Hybrid,0.12460926830748688,"G13CINDERELLA99,CINDERELLA99BX1,CINDERELLA99,CINDERELLA994,CINDY99,CINDERELLA,CINDERELLA99GEORGE",14,75,3,13,222,35,19,43,2,13,3,6,19,15,5,4,17,66,4,2,0,8,43,71,14,8,5,104,304,403,432,254,179,480,153,300,63,215,104,429,11,3,8,17,4,3,5,8,14,3,154,2,13,105,51,8,28,14,5,37,13,14,12,18,12,26,3,2,11,46,26,2,53,6,13,36,33,8,119,9,8,8,8,61,8,0,43,44,44,112,193,23,68,323,743,339,271,414,21,251,15,121,62,33,56,84,38,71,159,4,14,276
strawberry cough,strawberry-cough,Sativa,0.24697553667842886,"STRAWBERRYCOUGHA,STRAWBERRYCOUGHB,STAWBERRYCOUGH,STRAWBERRYCOUGHJM,STRAWBERRYCOUGHXXX,BANGSSTRAWBERRYCOUGH,DOWNTOWNSTRAWBERRYCOUGHF,STRAWBERRYCOUGH,ORIGINALSTRAWBERRYCOUGH,WHITESTRAWBERRYCOUGH",15,145,8,39,531,65,35,106,6,22,18,14,33,47,15,10,26,127,10,5,9,11,88,162,23,19,14,192,561,693,856,459,396,1011,325,656,134,461,261,933,3,4,2,354,1,9,5,4,9,0,63,1,16,157,120,10,11,21,8,15,9,5,6,16,10,13,2,3,16,48,5,6,107,10,16,65,34,722,484,0,15,5,16,41,10,3,51,60,108,247,445,62,91,687,1508,898,603,856,53,462,50,207,141,70,134,158,78,154,343,19,26,619
la confidential,la-confidential,Indica,0.13973641302098708,"OGCONFIDENTIAL,SOURXLACONFIDENTIAL,LACONFIDENTAIL,LACON,LACONFIDENTIALT29LED,LACONFIDENTIALB4,LACONFIDENTIAL78,LACONFIDENTIAL",21,63,5,16,292,57,21,54,5,17,10,11,32,30,10,4,22,109,7,5,1,8,38,79,22,16,9,108,194,89,450,130,164,468,221,552,386,128,174,312,4,1,1,24,0,4,5,7,10,6,39,6,22,193,51,15,6,7,10,15,3,4,5,7,15,4,1,1,15,159,1,4,100,2,5,80,42,1,95,4,13,4,9,17,5,1,81,21,68,172,276,33,58,397,858,364,372,561,53,215,30,63,94,97,267,122,110,128,338,21,33,395
og kush,og-kush,Hybrid,0.5785174129078715,"OGKUSHTY,OGERKUSH,OGREKUSH,ORGYKUSH,GOGIKUSH,OFKUSH,XXXOGKUSH,OGKUSHFEM,OGKUSH1FEM,OGSH,OGKUSH18,OGKUSH1,AURUMOG,0000OGKUSH,OGKUSH,OG,OG7,OG99,707OG,OJKUSH,OGKUSHXTRM",23,349,19,85,1030,152,78,189,13,65,33,42,82,88,34,33,88,351,34,33,24,28,127,240,77,28,30,429,957,731,1846,801,819,2081,1120,1919,1054,750,622,1408,23,15,7,42,10,24,9,20,54,23,197,26,123,914,180,20,20,24,25,180,46,17,16,33,75,25,6,11,61,587,14,3,380,12,54,207,115,5,251,9,44,26,28,40,15,7,557,132,290,761,1265,172,291,1444,3326,1451,1636,1965,152,894,116,326,397,196,757,425,269,370,1013,59,77,1387
haze,haze,Sativa,0.08438976883030175,9LBHAZE,24,21,1,2,81,17,11,14,0,3,5,4,5,9,0,2,4,25,3,1,2,0,3,13,3,3,0,49,133,145,159,90,70,188,83,111,36,89,45,168,2,0,1,8,0,1,0,3,9,2,31,2,7,82,16,3,1,3,2,17,10,1,1,3,3,3,0,0,8,13,0,0,26,2,3,9,41,0,63,2,8,5,3,7,4,0,31,24,36,58,120,24,52,112,298,148,163,171,8,78,11,44,22,14,28,36,22,25,78,4,4,122
northern lights,northern-lights,Indica,0.33111148509770705,"NOTHERNLIGHTS5,NORTHENLIGHTS,NORTHENLIGHTS5,NORTHERNLIGHTSNO5,NORTHERNLIGHTS22,NORTHERNLIGHTSXSKUNK,NORTHERNLIGHTSXBIGBUD,VINTAGENORTHERNLIGHTS,NORTHERNLIGHTS,NORTHERNLIGHTS1,NORTHERNLIGHTS8,NORTHERNLIGHTS6,0000NORTHERNLIGHTS,NORTHERNLIGHTS2,GODSNORTHERNLIGHTS,NORTHERNLIGHTSXTRM",25,150,11,49,657,124,38,119,5,45,36,32,93,71,20,19,64,198,30,22,19,35,88,201,66,30,18,193,462,216,1093,325,429,1163,604,1377,908,306,353,706,11,9,7,56,4,23,11,13,17,12,108,11,22,483,128,20,9,19,29,41,12,8,16,26,28,9,4,3,39,274,11,3,165,7,37,76,97,5,325,4,25,18,16,32,9,15,195,40,175,364,703,79,111,890,1985,856,895,1236,98,527,65,170,243,154,612,266,208,235,678,49,64,887
white widow,white-widow,Hybrid,0.4257782216569507,"WHITEWIDOWH,WHITEWIDDOW,CKWHITEWIDOW,WHITEWIDOWDAY55,KCSWHITEWIDOW,WHITEWIDOWXKUSH,WHITEWIDOWBIGBUD,WHITEWIDOWFEMALE,WHITEWIDOWXBIGBUD,WHITEWIDOWMAXAUTO,WHITEWIDOWDINAFEM,0000WHITEWIDOW,WHITEWIDOW2,WHITEWIDOW,WHITEWIDOWMAX,WHITEWIDOWXTRM,WHITEWIDOWXVRB",26,222,9,54,802,112,60,120,11,41,28,35,72,74,19,17,51,261,25,27,21,18,112,207,68,34,28,328,1059,1019,1580,789,726,1698,756,1257,446,805,439,1443,20,12,4,26,13,13,12,16,23,16,109,17,37,606,206,7,12,18,22,56,18,8,20,42,45,11,5,6,63,209,8,6,301,10,42,111,110,7,224,14,43,19,26,30,22,6,390,127,270,577,1007,115,247,1135,2734,1042,1296,1586,104,745,78,281,240,136,404,266,215,303,780,44,50,1060
big bud,big-bud,Indica,0.0461401364560601,"BIGBUDD,BIGBUD,MAUIBIGBUD,BIGBUDXXL",27,16,2,10,72,14,7,12,6,3,2,2,9,18,4,1,6,22,3,2,0,2,10,22,6,5,4,20,49,23,79,43,44,103,82,131,112,34,24,67,2,0,0,6,0,2,0,4,3,1,8,2,2,55,21,1,1,2,0,4,2,1,1,0,3,1,1,0,10,15,0,1,30,4,8,25,22,1,19,1,2,1,3,1,0,0,33,8,26,58,92,11,18,96,207,93,115,142,10,50,14,15,25,16,80,30,21,33,83,5,10,91
hash plant,hash-plant,Indica,0.03693362872143486,"BCHASHPLANT,HASHPLANT,GUAVAHASHPLANT,HASHPLANT89KIMBO",28,28,1,6,115,15,8,19,0,5,4,4,13,14,1,2,7,40,4,5,4,4,11,37,9,4,2,24,47,22,142,49,49,167,101,213,162,41,66,89,3,1,1,15,1,3,2,3,3,3,11,2,12,99,26,3,2,3,4,6,3,1,4,5,8,0,0,0,10,21,0,1,50,2,7,22,42,1,25,5,6,5,1,4,2,1,58,8,41,81,135,22,15,149,322,145,165,214,21,70,10,20,35,29,105,45,36,52,152,5,10,146
white russian,white-russian,Hybrid,0.04492897166867608,"WHITERUSSIANHYBRID,WILLIAMSXWHITERUSSIAN,WHITERUSSIAN",29,28,0,2,116,14,4,16,0,3,5,2,10,11,3,1,3,40,2,2,1,1,8,20,5,7,1,42,132,129,199,100,71,214,83,168,80,87,65,189,1,3,2,11,1,2,3,4,1,2,27,2,10,66,20,3,3,5,2,4,0,3,1,3,10,1,2,2,5,18,3,0,40,15,5,20,18,2,48,2,4,5,5,12,4,0,29,12,42,75,119,22,23,160,358,142,168,218,15,97,13,52,33,12,57,37,19,45,94,2,5,160
hindu kush,hindu-kush,Indica,0.09456189769382085,"REDHINDUKUSH,CINDIKUSH,HINDUKUSH,HINDUKUSHOG",30,66,5,22,271,59,14,43,5,18,13,8,27,39,10,7,27,82,8,5,5,10,33,88,24,12,8,67,165,53,400,180,129,399,246,532,419,104,150,263,5,1,3,28,4,7,4,9,6,10,35,7,14,251,43,9,4,4,5,13,3,6,2,7,29,7,1,3,22,80,0,3,121,6,18,46,70,3,131,8,11,8,11,11,5,7,113,32,71,177,299,30,71,369,781,369,382,517,46,176,31,73,90,69,279,118,79,111,310,19,27,343
jack herer,jack-herer,Sativa,0.48718344870206726,"JACKHERRER,JACKHERNER,JACKHERERA,2DMJACKHERER,JACKHERERGTP,JACKHERERKCSCUT,0000JACKHERER,JACKHERER9,JACKHERER5,JACKHERER3,JACKHERER",31,248,15,54,904,131,49,156,6,41,25,20,62,81,24,18,59,258,16,13,11,15,98,236,43,42,23,331,1349,1505,1511,1122,551,1781,527,949,240,852,387,1673,11,6,9,36,11,12,9,21,26,20,192,12,48,588,128,11,34,27,28,127,47,17,20,62,43,24,9,4,83,472,20,7,193,10,47,110,177,9,230,13,42,18,21,48,12,5,379,139,203,497,826,130,205,1218,2779,1135,1160,1621,84,898,83,468,240,152,264,259,170,311,681,24,42,1135
green crack,green-crack,Sativa,0.4318340455938708,"GREEENCRACK,GREENCRACK2,GREENCRACKOG,GREENCRACKNEW,3RDXGREENCRACK,GREENCURE,GREENCRACK",32,463,20,61,1245,172,98,268,13,56,49,50,121,107,31,31,71,355,35,25,22,30,163,367,96,56,27,566,1818,2782,2021,1875,935,2512,840,1184,318,1432,646,2445,24,19,20,82,18,16,10,21,53,16,636,16,90,617,212,20,68,26,20,182,102,214,14,63,35,79,20,18,51,241,45,5,337,5,52,220,137,10,564,15,33,21,65,227,16,9,204,311,286,735,1256,209,395,1763,4165,1679,1792,2318,109,1254,131,807,380,168,335,411,224,403,854,46,90,1588
bubba kush,bubba-kush,Indica,0.3158822604362952,"5CSBUBBAKUSH,BUBBAKUSH1FEM,QRIBUBBAKUSH,SOURBUBBAKUSH,WHITEBUBBAKUSH,BUBBAKUSH3,BUBBAKUSH20,BUBBAKUSH00006,BUBBAKUSH1,BUBBAKUSH2,BUBBAKUSH,98BUBBAKUSH,BUBBAKUSHPRE98",33,191,11,64,650,128,49,129,7,34,24,35,69,61,30,15,49,236,22,23,12,22,91,179,64,31,22,224,437,204,1064,330,441,1186,821,1503,1209,284,419,664,8,4,4,92,8,30,13,11,12,13,68,118,49,528,130,32,13,24,25,29,11,13,9,28,46,11,7,6,37,177,10,14,291,7,37,127,70,8,369,9,29,16,17,37,15,6,174,76,206,480,848,87,153,941,2215,935,1079,1339,105,487,86,165,241,152,702,314,249,298,790,51,43,866
purple urkle,purple-urkle,Indica,0.09955277947144658,"PURPLEURCKLE,PURPLEURCLE,PURPLEURKEL,PURPLEURKLEXAFXOG,PURPLESURFER,PURPLEURKLE",34,76,6,31,300,65,16,63,7,17,19,13,32,41,12,10,22,117,11,8,6,6,41,87,33,17,9,96,120,45,372,109,134,389,273,558,538,82,140,200,5,5,4,183,4,33,3,4,2,4,25,3,10,114,65,217,14,9,26,5,4,5,4,8,9,6,4,2,9,31,7,16,61,6,11,64,21,4,177,2,12,2,5,17,3,16,35,21,65,166,277,24,49,400,822,390,363,559,43,187,26,56,110,76,367,118,106,120,319,19,24,371
trainwreck,trainwreck,Hybrid,0.2535665906125073,"TRAINWRECKA,TRAINWRECKB,TRAINWRECKHSO,SOURTRAINWRECK,TRAINWRECK2CYAN,TRAINWRECK3,TRAINWRECK,TRAINWRECK2,CALITRAINWRECK,TRAINWRECKARCATA,TRAINWRECKVEGTUBE7,ARCADIATRAINWRECK,CALTRAINWRECK",35,196,11,35,601,93,53,118,3,30,20,23,45,51,22,22,40,192,15,11,10,15,80,188,43,18,13,253,703,646,1183,509,479,1079,486,800,368,479,372,983,15,9,3,16,5,12,3,12,25,7,138,12,45,385,76,9,13,14,17,144,33,5,13,30,28,11,2,4,43,279,10,3,214,7,27,77,105,6,143,4,18,15,13,36,10,6,151,103,219,424,662,106,213,829,1885,726,938,1100,71,516,64,193,218,92,295,188,131,203,551,35,37,771
purple trainwreck,purple-trainwreck,Hybrid,0.04479378471063094,"PURPLETRAINWRECK2,PURPLETRAINWRECK1,PURPLETRAINWRECK",36,40,1,9,141,22,8,29,1,8,9,5,20,17,6,5,13,47,8,5,3,7,22,45,13,6,7,53,129,127,276,115,75,258,104,251,103,98,80,212,2,0,0,54,2,6,0,3,4,0,30,2,12,68,25,76,5,5,13,28,5,1,2,7,5,4,1,1,10,38,1,1,46,1,2,17,22,0,72,2,3,5,8,9,1,2,18,17,31,96,149,22,33,199,446,190,203,259,26,111,12,36,36,36,67,40,38,51,146,9,17,178
shiva skunk,shiva-skunk,Indica,0.016663861767197023,SHIVASKUNK,37,4,0,1,21,5,0,5,1,2,1,1,3,1,1,1,1,10,1,1,1,1,4,6,4,0,1,7,19,8,41,25,17,48,21,49,27,15,18,34,0,0,0,2,0,0,1,0,0,0,5,0,6,11,2,0,2,3,0,1,1,0,1,1,1,0,0,3,1,5,0,1,5,0,3,28,5,0,14,2,4,0,2,2,1,0,5,2,8,20,28,1,8,31,78,38,38,45,3,13,6,8,11,3,16,7,5,11,23,1,2,28
grape ape,grape-ape,Indica,0.18802574621821383,"GRAPEAPEJM,PMGRAPEAPE,GRAPEAPENEW,GRAPEAPEXSD,GANDAGRAPEAPE,GRAPEROYALE,GRAPEAPE1,GRAPEAPE,GRAPEAPE2,GRAPEESCAPE",38,105,4,38,448,86,27,98,7,30,20,18,59,61,15,10,32,139,19,14,9,14,51,141,39,14,10,121,231,98,600,190,240,671,378,832,603,160,226,380,2,3,2,215,3,26,3,1,6,4,21,3,8,144,67,568,16,6,28,9,2,6,1,6,5,3,2,4,6,35,5,10,92,2,6,73,27,2,289,1,9,3,7,22,4,11,28,23,84,241,402,45,59,603,1245,654,519,837,63,283,42,89,151,107,429,146,141,213,553,32,34,519
skunky diesel,skunky-diesel,Hybrid,0.0008828536035601071,SKUNKYDIESEL,39,2,0,0,6,1,1,1,0,1,0,0,1,0,0,0,0,2,1,0,1,0,0,2,1,1,0,2,5,3,4,4,2,7,5,5,4,6,2,8,0,0,0,0,1,0,0,1,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,6,0,0,1,0,0,0,0,0,0,0,1,0,1,2,6,0,1,6,14,6,8,9,0,3,1,0,1,1,2,1,2,0,4,0,0,5
silver haze,silver-haze,Sativa,0.08504639119794957,"SILVERHAZE,OREGONSILVERHAZE",40,33,1,7,109,7,7,15,0,6,6,1,1,1,2,5,3,32,4,4,1,0,6,20,5,3,2,53,181,185,250,113,128,307,123,192,65,151,72,263,4,1,1,5,1,1,1,2,7,2,33,4,13,110,30,3,3,2,5,14,11,1,4,7,3,5,1,1,15,27,2,1,57,1,7,18,17,2,51,3,4,8,5,9,2,3,63,23,53,102,191,39,45,163,482,206,260,263,8,118,11,42,41,12,50,52,20,36,100,4,5,166
purple haze,purple-haze,Sativa,0.1499526845646842,"PUREHAZE,PURPLERAZ,PURPLEHAZE,PICKENSMTNPURPLEHAZE,PURPLECOMMUNEHAZE",41,43,4,14,213,20,21,30,2,9,4,4,13,23,4,3,12,70,6,3,1,4,18,50,8,3,5,96,330,310,442,183,208,456,180,313,120,219,123,392,3,1,2,105,2,22,3,1,5,0,21,3,8,139,70,49,9,7,32,7,2,2,5,5,8,2,3,1,10,28,3,5,35,2,8,19,36,1,154,6,7,5,5,14,3,12,48,34,85,159,282,49,74,291,733,296,371,393,20,196,22,87,61,31,91,55,47,65,181,6,10,271
kali mist,kali-mist,Sativa,0.02722775691729593,KALIMIST,42,14,0,3,63,10,3,6,1,3,0,0,6,3,0,0,2,20,0,0,0,2,12,18,2,2,0,26,127,153,122,103,28,128,30,66,9,66,28,133,0,0,1,3,0,2,2,1,2,3,19,1,2,54,18,2,3,4,2,6,5,3,3,8,7,4,0,0,9,10,4,0,13,1,5,4,20,2,43,1,8,2,4,11,1,1,16,16,8,50,67,13,19,93,218,101,103,130,5,76,1,34,15,12,14,24,15,23,51,3,5,94
maui wowie,maui-wowie,Sativa,0.15074173497286605,"MAUIWOWY,MAUIWOWIE,MAUIWAUI4,MAUIWAUI,MAUIWAUIHEIRLOOM,MAUIWAUI2017,MAUIWAUICLASSICSATIVA,HAWAIIMAUIWAUI",43,77,4,19,316,37,25,54,1,6,6,6,20,19,6,2,25,84,4,5,5,4,36,62,11,17,4,119,409,483,537,280,237,669,182,344,66,288,131,597,1,7,6,25,1,4,3,5,1,3,145,9,8,85,57,8,12,15,4,27,11,52,4,4,7,21,9,5,8,41,152,0,45,5,8,19,24,8,199,0,9,1,24,263,10,1,27,31,52,168,280,35,48,401,939,435,366,550,27,288,19,159,88,43,88,86,39,95,231,8,14,395
cracker jack,cracker-jack,Sativa,0.005487486929628291,,44,11,2,1,30,3,1,4,1,2,1,1,2,1,0,1,1,6,2,0,0,1,8,6,1,0,2,8,43,53,42,33,17,47,10,15,3,27,9,41,1,0,0,0,0,0,2,0,2,1,7,0,0,12,2,0,0,0,0,1,0,0,0,1,2,0,0,0,1,9,0,0,8,0,1,2,7,0,13,0,0,0,1,1,0,0,8,1,5,10,15,1,6,37,75,28,24,43,0,19,2,17,6,5,1,5,5,4,13,1,1,34
nyc diesel,nyc-diesel,Hybrid,0.07664548737657292,"MYSTICDIESELB,NYCDIESEL,SOMANYCDIESEL",45,64,4,9,209,29,17,49,3,10,7,5,17,15,5,3,11,50,5,6,4,5,23,50,19,8,6,82,260,278,361,206,136,416,152,296,75,220,99,367,10,3,2,10,1,6,2,1,50,3,75,2,207,77,22,3,61,3,8,29,37,2,1,2,6,4,1,0,13,31,5,0,101,2,7,24,26,3,72,3,5,4,4,20,1,3,24,19,43,144,220,35,53,270,637,309,297,365,28,185,15,84,52,41,79,63,48,89,175,9,9,270
