strain_name,strain_slug,strain_category,strain_popularity,strain_aliases,strain_id,condition_add_adhd_votes,condition_alzheimers_votes,condition_anorexia_votes,condition_anxiety_votes,condition_arthritis_votes,condition_asthma_votes,condition_bipolar_disorder_votes,condition_cachexia_votes,condition_cancer_votes,condition_crohns_disease_votes,condition_epilepsy_votes,condition_fibromyalgia_votes,condition_gastrointestinal_disorder_votes,condition_glaucoma_votes,condition_hiv_aids_votes,condition_hypertension_votes,condition_migraines_votes,condition_multiple_sclerosis_votes,condition_muscular_dystrophy_votes,condition_parkinsons_votes,condition_phantom_limb_pain_votes,condition_pms_votes,condition_ptsd_votes,condition_spinal_cord_injury_votes,condition_tinnitus_votes,condition_tourettes_syndrome_votes,effect_aroused_votes,effect_creative_votes,effect_energetic_votes,effect_euphoric_votes,effect_focused_votes,effect_giggly_votes,effect_happy_votes,effect_hungry_votes,effect_relaxed_votes,effect_sleepy_votes,effect_talkative_votes,effect_tingly_votes,effect_uplifted_votes,flavor_ammonia_votes,flavor_apple_votes,flavor_apricot_votes,flavor_berry_votes,flavor_blue_cheese_votes,flavor_blueberry_votes,flavor_butter_votes,flavor_cheese_votes,flavor_chemical_votes,flavor_chestnut_votes,flavor_citrus_votes,flavor_coffee_votes,flavor_diesel_votes,flavor_earthy_votes,flavor_flowery_votes,flavor_grape_votes,flavor_grapefruit_votes,flavor_honey_votes,flavor_lavender_votes,flavor_lemon_votes,flavor_lime_votes,flavor_mango_votes,flavor_menthol_votes,flavor_mint_votes,flavor_nutty_votes,flavor_orange_votes,flavor_peach_votes,flavor_pear_votes,flavor_pepper_votes,flavor_pine_votes,flavor_pineapple_votes,flavor_plum_votes,flavor_pungent_votes,flavor_rose_votes,flavor_sage_votes,flavor_skunk_votes,flavor_spicy_herbal_votes,flavor_strawberry_votes,flavor_sweet_votes,flavor_tar_votes,flavor_tea_votes,flavor_tobacco_votes,flavor_tree_fruit_votes,flavor_tropical_votes,flavor_vanilla_votes,flavor_violet_votes,flavor_woody_votes,negative_anxious_votes,negative_dizzy_votes,negative_dry_eyes_votes,negative_dry_mouth_votes,negative_headache_votes,negative_paranoid_votes,review_total_condition_votes,review_total_effect_votes,review_total_flavor_votes,review_total_negative_votes,review_total_symptom_votes,symptom_cramps_votes,symptom_depression_votes,symptom_eye_pressure_votes,symptom_fatigue_votes,symptom_headaches_votes,symptom_inflammation_votes,symptom_insomnia_votes,symptom_lack_of_appetite_votes,symptom_muscle_spasms_votes,symptom_nausea_votes,symptom_pain_votes,symptom_seizures_votes,symptom_spasticity_votes,symptom_stress_votes
golden pineapple,golden-pineapple,Hybrid,0.030555011435713084,GOLDENPINEAPPLE,85264,16,1,8,67,10,7,18,2,8,6,3,4,9,1,3,10,17,1,2,2,3,8,24,4,4,0,49,132,156,175,100,85,208,47,148,23,91,37,177,0,0,1,2,0,0,2,1,2,0,85,1,2,21,21,0,6,8,0,7,2,6,0,6,1,6,1,1,4,15,153,0,20,1,2,11,8,0,93,0,4,0,12,87,1,0,7,22,15,38,67,6,14,98,295,193,95,143,11,99,10,48,46,17,23,36,14,26,50,2,4,102
seattle cough,seattle-cough,Sativa,0.003302424260817026,SEATTLECOUGH,85297,2,0,0,8,1,1,3,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,2,0,1,0,9,21,18,13,13,9,18,1,12,0,12,7,18,0,0,0,0,0,0,1,0,0,2,11,0,0,3,1,0,7,1,0,1,0,0,0,4,0,1,1,1,4,11,1,1,1,0,0,0,0,0,6,0,0,0,0,0,0,1,2,0,1,5,7,1,2,11,28,19,8,10,0,10,0,6,1,5,1,0,1,3,1,0,1,5
rocky mountain high,rocky-mountain-high,Hybrid,0.0039893947210872345,,85298,2,0,0,3,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,1,5,0,7,3,1,5,1,7,4,3,4,5,0,0,0,0,0,0,0,1,0,0,3,0,1,3,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,3,0,0,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0,2,1,1,2,0,2,3,11,6,5,6,0,2,1,1,1,2,2,1,1,3,5,0,0,4
critical kush,critical-kush,Indica,0.10505681990614163,"KRITICALKUSH,CRITICALPURPLEKUSH,CRITICALKUSHNCSOURCE,CRITICALKUSH,KBRCRITICALKUSH",85359,39,9,24,124,43,28,42,8,10,10,7,31,27,20,5,19,50,10,9,6,12,26,50,22,14,14,41,88,40,192,77,86,257,130,370,225,54,77,143,2,2,1,16,2,3,3,5,10,4,48,7,9,162,40,2,2,9,2,16,6,3,2,6,12,3,2,1,8,55,7,1,85,2,9,34,45,2,53,2,8,3,7,14,3,1,95,20,32,91,153,13,17,180,430,260,198,252,42,125,29,51,76,59,129,83,77,77,150,14,23,162
white dragon,white-dragon,Indica,0.001169781024717142,WHITEDRAGON,86736,1,1,2,5,3,0,2,1,1,2,2,3,2,1,1,2,1,1,1,1,1,2,6,2,0,0,2,3,1,5,4,3,7,7,10,5,0,7,4,0,0,0,0,0,1,0,0,0,0,0,1,0,5,1,0,0,1,0,2,0,0,0,1,1,0,0,0,1,2,0,0,2,0,1,2,2,0,2,1,1,1,0,0,0,1,5,1,3,3,3,0,1,8,12,6,6,9,1,4,1,2,3,3,5,4,2,4,6,3,2,5
blackberry lime haze,blackberry-lime-haze,Sativa,0.0009269962837381126,,86831,2,0,0,5,3,0,0,0,1,1,1,2,2,1,1,0,4,1,0,1,1,2,0,3,0,0,2,9,13,12,11,5,16,2,8,1,7,1,14,0,0,0,10,0,0,0,0,0,0,4,1,1,4,2,0,0,2,1,1,7,0,0,1,0,0,0,0,3,1,0,0,2,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,1,0,8,20,11,1,12,0,7,1,7,3,3,1,4,4,4,8,0,3,8
critical jack,critical-jack,Hybrid,0.01355456173215877,"CRITICALJACKHERER,CRITICALJACK",86863,7,2,4,14,2,3,7,1,3,1,3,1,4,2,1,4,11,2,2,2,2,3,7,4,1,2,16,43,55,53,59,16,71,27,58,8,34,14,68,1,0,0,3,0,1,0,2,1,0,32,1,2,15,7,0,1,2,0,17,1,1,0,3,3,2,0,0,3,33,2,0,4,0,2,6,6,0,20,0,3,1,1,5,1,0,11,5,4,14,21,4,3,27,107,67,34,49,0,31,2,20,12,5,3,17,4,8,12,1,0,33
hollywood og,hollywood-og,Hybrid,0.003600387352018562,"HOLLYWOODOGKUSH2,BOLLYWOOD",86895,5,0,1,5,1,1,2,0,0,1,0,0,1,0,0,0,4,0,0,0,0,0,4,1,2,0,3,10,9,12,13,8,13,6,18,8,6,4,13,1,0,0,0,0,0,1,0,2,1,3,0,8,13,1,0,2,0,0,2,1,0,1,1,1,1,0,0,1,3,0,0,6,0,1,2,4,0,7,0,0,0,0,1,0,0,2,3,1,3,7,4,1,11,29,18,11,17,2,7,3,2,5,3,7,6,3,7,8,0,1,12
jamaican dream,jamaican-dream,Sativa,0.008519537274355034,"JAMACIANDREAM,JAMAICANDREAM",86927,8,1,2,19,5,5,3,0,0,0,2,0,2,1,0,1,9,0,1,1,1,2,12,2,0,1,6,24,33,24,21,11,42,4,26,6,16,6,36,0,0,1,2,0,0,0,0,0,1,4,1,0,12,9,0,0,1,0,0,1,2,0,1,0,1,0,2,2,3,6,0,3,0,1,1,4,1,11,0,2,0,3,15,0,0,12,4,4,4,13,3,2,30,59,35,19,37,1,19,3,11,8,5,7,5,8,5,12,0,2,21
cheesewreck,cheesewreck,Hybrid,0.004345295080022403,"HORSEWRECK,CHEESEWRECK",87984,5,0,1,15,3,2,4,0,0,0,0,0,3,0,0,0,4,0,0,0,0,4,6,2,0,0,5,13,14,28,9,9,26,9,26,14,10,10,19,0,0,0,2,5,0,0,18,0,0,2,0,0,1,5,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,6,0,0,1,1,1,5,0,0,0,0,0,0,0,4,5,4,6,13,1,6,22,41,22,21,21,1,10,0,6,3,3,12,7,2,2,11,0,1,12
colombian gold,colombian-gold,Sativa,0.034089184767464635,"COLUMBIANGOLD,COLOMBIAN,COLOMBIANGOLD,COLUMBIANGOLDFTIPS,COLUMBIANGOLDGH34THGEN,COLUMBIANGOLDGH23RDGEN",88047,6,0,2,26,5,3,5,0,3,3,0,2,4,1,0,4,9,0,3,1,2,1,9,2,1,1,25,58,59,75,47,37,72,28,49,17,40,13,61,1,2,2,2,1,2,4,2,1,2,24,6,3,34,8,1,4,5,1,18,14,2,3,3,4,3,1,1,6,17,3,1,24,1,3,19,15,1,20,2,6,3,3,13,2,1,19,7,5,18,31,3,11,37,113,73,42,59,5,34,8,14,13,10,13,16,11,8,25,2,4,35
kali china,kali-china,Indica,0.001037352984183126,,88079,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,3,3,1,4,0,4,2,3,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,6,4,0,3,0,2,0,0,0,0,2,0,0,1,2,0,0,1
og cheese,og-cheese,Hybrid,0.008784393355423066,,88080,10,0,2,17,2,2,4,0,1,1,1,3,1,2,2,1,3,1,0,1,2,2,7,1,0,0,6,18,13,27,13,17,35,14,41,17,14,11,27,1,0,0,2,3,0,1,32,1,0,4,0,1,12,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,4,0,0,11,0,1,13,4,0,8,0,0,0,0,2,0,0,3,0,5,12,24,1,1,25,59,38,28,28,2,12,4,3,5,2,12,8,2,7,10,0,1,19
